uID,RN,Amount Removed (1/16),Reason,Axle Position,Side,WT Start Rim,ES Start Rim,Start Difference,WT Removed,Flange Condition Bool,CDSS,CDFIM,CDSWC
GoldenBC 2016-02-27 09:48:00 R,8655,2.034217322834646,High Flange,2,R,1.6875,1.688,-0.0004999999999999449,3.21662,TRUE,1174.45557,1066.24365,1044.4917
GoldenBC 2016-03-04 08:31:00 L,9352,-0.7860535433070872,High Flange,1,L,0.8125,0.75,0.0625,0.33964,TRUE,1132.60767,1023.7597,1005.79565
GoldenBC 2016-03-04 08:31:00 L,9352,-0.7860535433070872,High Flange,1,L,0.8125,0.75,0.0625,0.33964,TRUE,1132.60767,1023.7597,1005.79565
GoldenBC 2016-03-04 08:31:00 L,9352,-0.7860535433070872,High Flange,1,L,0.8125,0.75,0.0625,0.33964,TRUE,1132.60767,1023.7597,1005.79565
GoldenBC 2016-03-04 08:31:00 L,9352,-0.7860535433070872,High Flange,1,L,0.8125,0.75,0.0625,0.33964,TRUE,1132.60767,1023.7597,1005.79565
GoldenBC 2016-03-04 08:31:00 L,9352,-0.7860535433070872,High Flange,1,L,0.8125,0.75,0.0625,0.33964,TRUE,1132.60767,1023.7597,1005.79565
GoldenBC 2016-03-04 08:31:00 L,9352,-0.7860535433070872,High Flange,1,L,0.8125,0.75,0.0625,0.33964,TRUE,1132.60767,1023.7597,1005.79565
GoldenBC 2016-03-04 08:31:00 R,9352,0.2219464566929119,High Flange,1,R,0.8125,0.813,-0.0004999999999999449,0.33964,TRUE,1132.60767,1023.7597,1005.79565
GoldenBC 2016-03-04 08:31:00 R,9352,0.2219464566929119,High Flange,1,R,0.8125,0.813,-0.0004999999999999449,0.33964,TRUE,1132.60767,1023.7597,1005.79565
GoldenBC 2016-03-04 08:31:00 R,9352,0.2219464566929119,High Flange,1,R,0.8125,0.813,-0.0004999999999999449,0.33964,TRUE,1132.60767,1023.7597,1005.79565
GoldenBC 2016-03-04 08:31:00 R,9352,0.2219464566929119,High Flange,1,R,0.8125,0.813,-0.0004999999999999449,0.33964,TRUE,1132.60767,1023.7597,1005.79565
